Item Name,PSU Semester,Quantity Used
# CHO SPICE RANCH MIX,Fall Semester,1.0
# CHO SPICE RANCH MIX,Spring Semester,0.25
# CHO SPICE RANCH MIX,Summer Semester,0.0
# CHO SPICE RANCH MIX,Winter Break,0.5
# CHO SPICE TOFU/VEG,Fall Semester,3.3333333333333335
# CHO SPICE TOFU/VEG,Spring Semester,2.5
# CHO SPICE TOFU/VEG,Summer Semester,0.0
# CHO SPICE TOFU/VEG,Winter Break,4.5
# CHO SPICE WHIT RICE,Fall Semester,18.333333333333332
# CHO SPICE WHIT RICE,Spring Semester,11.75
# CHO SPICE WHIT RICE,Summer Semester,1.6666666666666667
# CHO SPICE WHIT RICE,Winter Break,15.5
# CHO VEG CROQUETTE,Fall Semester,13.0
# CHO VEG CROQUETTE,Spring Semester,11.0
# CHO VEG CROQUETTE,Summer Semester,3.0
# CHO VEG CROQUETTE,Winter Break,13.5
# CITRIC ACID,Fall Semester,0.0
# CITRIC ACID,Spring Semester,1.0
# CITRIC ACID,Summer Semester,0.0
# CITRIC ACID,Winter Break,0.0
# CORNSTARCH BULK,Fall Semester,18.333333333333332
# CORNSTARCH BULK,Spring Semester,5.75
# CORNSTARCH BULK,Summer Semester,3.0
# CORNSTARCH BULK,Winter Break,9.5
# CRMRY BOWL 6 OZ WHITE SQUAT COMPOST,Fall Semester,32.666666666666664
# CRMRY BOWL 6 OZ WHITE SQUAT COMPOST,Spring Semester,27.75
# CRMRY BOWL 6 OZ WHITE SQUAT COMPOST,Summer Semester,38.666666666666664
# CRMRY BOWL 6 OZ WHITE SQUAT COMPOST,Winter Break,7.5
# CRMRY CONE CAKE JACKETED,Fall Semester,19.666666666666668
# CRMRY CONE CAKE JACKETED,Spring Semester,14.0
# CRMRY CONE CAKE JACKETED,Summer Semester,19.0
# CRMRY CONE CAKE JACKETED,Winter Break,9.0
# CRMRY LID HIGH DOME FOR 6 OZ BOWL,Fall Semester,0.6666666666666666
# CRMRY LID HIGH DOME FOR 6 OZ BOWL,Spring Semester,1.75
# CRMRY LID HIGH DOME FOR 6 OZ BOWL,Summer Semester,1.0
# CRMRY LID HIGH DOME FOR 6 OZ BOWL,Winter Break,3.0
# CRMRY MILK NONFAT POWDER,Fall Semester,133.0
# CRMRY MILK NONFAT POWDER,Spring Semester,105.0
# CRMRY MILK NONFAT POWDER,Summer Semester,133.0
# CRMRY MILK NONFAT POWDER,Winter Break,75.0
# DSSRT MINI BD BABY CAKES ASST,Fall Semester,0.3333333333333333
# DSSRT MINI BD BABY CAKES ASST,Spring Semester,0.25
# DSSRT MINI BD BABY CAKES ASST,Summer Semester,1.6666666666666667
# DSSRT MINI BD BABY CAKES ASST,Winter Break,18.5
# EGG PATTY WHL,Fall Semester,153.0
# EGG PATTY WHL,Spring Semester,97.5
# EGG PATTY WHL,Summer Semester,32.666666666666664
# EGG PATTY WHL,Winter Break,137.0
# EGGROLL BEEF CHEESE STK 3.0OZ,Fall Semester,1.3333333333333333
# EGGROLL BEEF CHEESE STK 3.0OZ,Spring Semester,13.0
# EGGROLL BEEF CHEESE STK 3.0OZ,Summer Semester,0.0
# EGGROLL BEEF CHEESE STK 3.0OZ,Winter Break,38.5
# ENTRÉE PREP EGGPLANT RND KOSHER,Fall Semester,0.6666666666666666
# ENTRÉE PREP EGGPLANT RND KOSHER,Spring Semester,0.75
# ENTRÉE PREP EGGPLANT RND KOSHER,Summer Semester,0.3333333333333333
# ENTRÉE PREP EGGPLANT RND KOSHER,Winter Break,1.0
# FISH COD BEER BATTER 2-3OZ,Fall Semester,0.0
# FISH COD BEER BATTER 2-3OZ,Spring Semester,-0.75
# FISH COD BEER BATTER 2-3OZ,Summer Semester,0.0
# FISH COD BEER BATTER 2-3OZ,Winter Break,7.0
# GUACAMOLE KOSHER,Fall Semester,0.0
# GUACAMOLE KOSHER,Spring Semester,0.5
# GUACAMOLE KOSHER,Summer Semester,1.0
# GUACAMOLE KOSHER,Winter Break,1.0
# HOT DOG BEEF 8/# KOSHER,Fall Semester,174.33333333333334
# HOT DOG BEEF 8/# KOSHER,Spring Semester,56.25
# HOT DOG BEEF 8/# KOSHER,Summer Semester,3.3333333333333335
# HOT DOG BEEF 8/# KOSHER,Winter Break,197.5
